,Unnamed: 0,Company,Job Title,Location,Job Type,Experience level,Salary,Requirment of the company 
19,19,DeepL,Data Scientist,REMOTE JOB,Full Time,Senior-level,129000.0,"Agile,Data visualization,Economics,Machine Learning,Mathematics,Metabase"
20,20,Printify,Data Analyst,ESTONIA,Full Time,Senior-level,92000.0,"Architecture,Data analysis,Data Analytics,Data quality,Data visualization,E-commerce"
21,21,Visa,Data Engineer,INDIA,Full Time,Senior-level,115000.0,"Agile,Airflow,Clustering,Computer Science,Data governance,Data Mining"
22,22,Talan,Data Management Scrum Master,SPAIN,Full Time,Entry-level,39000.0,"Agile,Azure,Big Data,Blockchain,Databricks,Data management"
23,23,Bosch Group,Rotational Development Program - Artificial Intelligence and Machine Learning Trainee,UNITED STATES,Full Time,Entry-level,44000.0,"Airflow,APIs,Architecture,Azure,Clustering,Computer Science"
24,24,EX2 Outcoding,Data Engineer,REMOTE WORLDWIDE,Full Time,Mid-level,73000.0,"Computer Science,Data Mining,Engineering,Python,SQL,Statistics"
25,25,CGG,Data Scientist,UNITED STATES,Full Time,Entry-level,40000.0,"Agile,CI/CD,Computer Vision,Data quality,Data visualization,Deep Learning"
26,26,RCA,Data Engineer,FRANCE,Full Time,Entry-level,59000.0,"Airflow,Architecture,AWS,Data warehouse,DevOps,ETL"
27,27,Publicis Groupe,BI Developer,UNITED STATES,Full Time,Senior-level,106000.0,"Agile,Architecture,Business Intelligence,Data analysis,Data visualization,ETL"
28,28,Block,Data Scientist,MEXICO,Full Time,Senior-level,129000.0,"Banking,Blockchain,Crypto,Data pipelines,Engineering,Fraud risk"
29,29,QuintoAndar,Data Analyst,BRAZIL,Full Time,Senior-level,92000.0,"Clustering,Looker,Python,SQL,Tableau"
30,30,Neo Cybernetica,ML Research Engineer,POLAND OR EASTERN EUROPE REMOTE,Full Time,Senior-level,105000.0,"Cybernetics,DataRobot,Engineering,Keras,Machine Learning,Python"
31,31,Western Digital,"Principal Engineer, Data Project Management",MALAYSIA,Full Time,Senior-level,55000.0,"Data Analytics,Engineering,Excel,Industrial,Statistics"
32,32,Podium,Data Engineer, OPEN TO REMOTE,Full Time,Senior-level,115000.0,"APIs,Big Data,Computer Science,Data analysis,Data pipelines,Data quality"
33,33,Netcentric,(Senior) Digital Analytics Engineer,SPAIN,Full Time,Senior-level,110000.0,"A/B testing,Angular,APIs,Computer Science,Engineering,JavaScript"
34,34,Freeform,Senior Software Engineer (Data Pipeline),CANADA,Full Time,Senior-level,140000.0,"Big Data,CI/CD,Computer Science,Computer Vision,Data pipelines,Data Warehousing"
35,35,Opera,Data Scientist,POLAND,Full Time,Senior-level,129000.0,"Agile,Airflow,Big Data,BigQuery,Computer Science,Data analysis"
36,36,Bosch Group,Data Science Lead (Hybrid),UNITED STATES,Full Time,All-Level,63000.0,"A/B testing,Data visualization,Economics,Engineering,Mathematics,Power BI"
37,37,Tiendanube,Business Intelligence, ARGENTINA - REMOTE,Full Time,Senior-level,49000.0,"Business Intelligence,E-commerce,Python,SQL,Tableau"
38,38,Ask Media Group,Business Intelligence,UNITED STATES - REMOTE,Full Time,Senior-level,180000.0,"A/B testing,Business Intelligence,Data visualization,KPIs,Looker,Mathematics"
39,40,Visa,Data Engineer,INDIA,Full Time,Senior-level,115000.0,"Agile,Big Data,Business Intelligence,Data Mining,Data visualization,Engineering"
40,41,AVIV Group,Data Modeler,GERMANY,Full Time,Senior-level,62000.0,"Architecture,Data governance,Data management,Engineering,KPIs,Privacy"
41,42,Mutt Data,Data Engineer,ARGENTINA,Full Time,Mid-level,73000.0,"Airflow,Architecture,AWS,Big Data,BigQuery,CI/CD"
42,43,Global Atlantic Financial Group,"VP, Actuarial Modeling and Data Management",UNITED STATES,Full Time,Senior-level,127000.0,"Data management,Excel,Finance,Mathematics,ML models,Privacy"
43,45,Imagen Technologies,Data Analyst,REMOTE,Full Time,Mid-level,60000.0,"Business Intelligence,Engineering,Genetics,Git,Pandas,Python"
44,46,Sunnova Energy International,Data Scientist,UNITED STATES,Full Time,Senior-level,129000.0,"Agile,APIs,Architecture,AWS,Big Data,Classification"
45,47,DeepL,Data Analyst,REMOTE JOB,Full Time,Senior-level,92000.0,"Agile,Data analysis,Data visualization,Economics,KPIs,Mathematics"
46,48,EUROPEAN DYNAMICS,Business Intelligence, BELGIUM - REMOTE,Full Time,Mid-level,45000.0,"Business Intelligence,Data analysis,Data Analytics,PhD,Privacy,Python"
47,49,Gemini,Data Engineer,INDIA,Full Time,Senior-level,115000.0,"Airflow,Architecture,AWS,Banking,Big Data,BigQuery"
48,50,OpenSea,Data Analyst,REMOTE,Full Time,Senior-level,135000.0,"Blockchain,Computer Science,Data analysis,Data governance,Data management,Data quality"
49,51,Weave HQ,MLOps Engineer,UNITED STATES,Full Time,Senior-level,69000.0,"AWS,Bigtable,Data analysis,DevOps,Distributed Systems,Engineering"
50,52,Monzo,Data Scientist, LONDON OR REMOTE (UK),Full Time,Senior-level,129000.0,"A/B testing,Banking,Data Mining,Finance,Looker,Python"
51,53,Scale AI,"Machine Learning Research Engineer, Generative AI",CANADA,Full Time,Senior-level,176000.0,"AWS,Deep Learning,GCP,Generative modeling,LLMs,Machine Learning"
52,54,Channel Factory,Data Analyst,UNITED STATES - REMOTE,Full Time,Mid-level,65000.0,"APIs,AWS,Computer Science,Data analysis,Data pipelines,Excel"
53,55,Confused.com,Data Scientist,UNITED KINGDOM,Full Time,Mid-level,40000.0,"AWS,Azure,Big Data,Business Intelligence,Computer Science,Data management"
54,56,Riverflex,Data Product Owner,REMOTE JOB,Full Time,Senior-level,62000.0,"Computer Science,DataOps,Engineering,Market research,Research,Testing"
55,57,Bosch Group,Bi Analyst Jr - 24170,BRAZIL,Full Time,Entry-level,48000.0,"Business Intelligence,Computer Science,Data analysis,Data governance,Data quality,Data visualization"
56,58,Bionic Services Ltd,HTML Developer,UNITED KINGDOM,Full Time,Mid-level,51000.0,"Agile,Finance,JavaScript,Testing"
57,59,Nielsen,Business Intelligence,ICELAND,Full Time,Senior-level,67000.0,"Agile,APIs,Architecture,Business Intelligence,Computer Science,Data management"
58,60,Etsy,Data Scientist,UNITED STATES,Full Time,Senior-level,104000.0,"Big Data,Data governance,Data visualization,Engineering,Finance,Hadoop"
59,61,Ocorian,Data Analyst,MAURITIUS,Full Time,Senior-level,92000.0,"Agile,Data management,Data quality,Excel"
60,62,PatientPoint,Data Visualization Analyst,UNITED STATES,Full Time,Senior-level,69000.0,"Agile,Computer Science,Data visualization,Engineering,JavaScript,Mathematics"
61,63,Fleetio,Data Engineer, UNITED STATES - REMOTE,Full Time,Mid-level,73000.0,"AWS,BigQuery,Business Intelligence,CI/CD,Dagster,Data pipelines"
62,64,Databricks,Data Engineer,INDIA,Full Time,Senior-level,115000.0,"AWS,Azure,Consulting,Data Analytics,Databricks,Data Warehousing"
63,65,Twitch,Data Engineer,REMOTE (UNITED STATES),Full Time,Senior-level,105000.0,"Architecture,AWS,Big Data,Business Intelligence,Data pipelines,Data quality"
64,66,Roosh,Digital Marketing Lead (ZibraAI),UKRAINE,Full Time,Mid-level,51000.0,"Machine Learning,Physics"
65,67,Instacart,Data Scientist,UNITED STATES - REMOTE,Full Time,Senior-level,166000.0,"Causal inference,Computer Science,Data Mining,Economics,Machine Learning,Mathematics"
66,68,Snowflake Inc.,Business Intelligence,UNITED KINGDOM,Full Time,Senior-level,62000.0,"Banking,Business Intelligence,Consulting,Economics,Engineering,Excel"
67,69,SSENSE,Data Analyst,CANADA,Full Time,All-Level,80000.0,"Business Intelligence,Computer Science,CX,Data visualization,E-commerce,Engineering"
68,70,Amazon.com,Machine Learning Engineer,UNITED STATES,Full Time,Senior-level,131000.0,"Architecture,AWS,Big Data,Classification,Data Mining,Data pipelines"
69,71,Bosch Group,ETAS Test Lead - Autonomous Driving Solutions,UNITED KINGDOM,Full Time,Senior-level,62000.0,"Agile,Autonomous Driving,Docker,Linux,Python,Testing"
70,72,NBCUniversal,Data Engineer,UNITED STATES,Full Time,Senior-level,115000.0,"Agile,Airflow,Architecture,Big Data,Computer Science,Data Analytics"
71,73,Databricks,Specialist Solutions Architect - MLOps,UNITED STATES,Full Time,Senior-level,69000.0,"Architecture,Big Data,Computer Science,Databricks,Deep Learning,Engineering"
72,74,Stripe,Data Scientist,CANADA,Full Time,Senior-level,129000.0,"Causal inference,Economics,Engineering,Finance,Machine Learning,PhD"
73,76,Kuda Technologies Ltd,React Native Engineer - Mobile (Dubai), UNITED ARAB EMIRATES - REMOTE,Full Time,Mid-level,40000.0,"APIs,Finance,GitHub,JavaScript,Jira,React"
74,77,KPMG Australia,Artificial Intelligence Lead | KPMG Futures,AUSTRALIA,Full Time,Executive-level,65000.0,"Finance,Research,Testing"
75,78,DoubleVerify,Jr. CRM Data Quality Specialist,UNITED STATES,Full Time,Entry-level,43000.0,"Data governance,Data quality,Finance,Research"
76,79,Pure Integration,Data Analyst,UNITED STATES,Full Time,Senior-level,92000.0,"Computer Science,Consulting,Consulting firm,Data analysis,Data quality,Engineering"
77,80,SAP Fioneer,Data Management Consultant Banking (f/d/m) Financial Services Data Platform FSDM, GERMANY - REMOTE,Full Time,Mid-level,45000.0,"Banking,Data management,MySQL,SQL"
78,81,Appen,"Director, Artificial Intelligence (AI)",CANADA,Full Time,Executive-level,81000.0,"AWS,Azure,Computer Science,Finance,GANs,GCP"
79,82,Cyberlogic,BI Developer,SOUTH AFRICA - REMOTE,Full Time,Mid-level,35000.0,"Architecture,Azure,Business Intelligence,Computer Science,Databricks,Data governance"
80,83,Experian,Business Intelligence,COSTA RICA,Full Time,Senior-level,69000.0,"Athena,AWS,Business Intelligence,Computer Science,Data Analytics,Data quality"
81,84,Publicis Groupe,Data Analyst,UNITED STATES,Full Time,Senior-level,92000.0,"Big Data,Computer Science,Data Analytics,Databricks,E-commerce,Economics"
82,85,Peloton,Machine Learning Engineer, ENGLAND,Full Time,Senior-level,62000.0,"A/B testing,Airflow,AWS,Cassandra,Computer Science,Computer Vision"
83,86,Fleetio,Data Analyst, UNITED STATES - REMOTE,Full Time,Mid-level,65000.0,"BigQuery,Business Intelligence,Dagster,Databricks,Data Warehousing,ELT"
84,88,NBCUniversal,Data Engineer,UNITED STATES,Full Time,Senior-level,115000.0,"AWS,Big Data,Computer Science,Data pipelines,DevOps,Engineering"
85,89,Experian,Cloud Database Analyst,COSTA RICA,Full Time,Senior-level,69000.0,"AWS,Big Data,Computer Science,GCP,Snowflake,SQL"
86,90,Freeform,Machine Learning Engineer,CANADA,Full Time,Senior-level,140000.0,"Architecture,Big Data,Cassandra,Computer Science,Data Mining,Deep Learning"
87,91,Foxintelligence,Data Analyst,FRANCE,Full Time,Mid-level,65000.0,"Classification,Consulting,Data management,Power BI,Python,R"
88,92,Visa,Data Analyst,UNITED STATES,Full Time,Senior-level,69000.0,"Data Analytics,Data visualization,Excel,Finance,PhD,Power BI"
89,93,Publicis Groupe,Data Engineer,UNITED STATES,Full Time,All-Level,96000.0,"APIs,Azure,Computer Science,Data pipelines,Engineering,ETL"
90,94,Sia Partners,Senior Consultant in Data science,BELGIUM,Full Time,Entry-level,39000.0,"Big Data,Consulting,Consulting firm,Econometrics,Finance,Machine Learning"
91,95,GRAIL,Data Manager,CANADA,Full Time,Senior-level,69000.0,"Biology,Computer Science,Data management,Data quality,Data visualization,GCP"
92,96,Motorway,Data Analyst,UNITED KINGDOM,Full Time,All-Level,56000.0,"Data analysis,Research"
93,97,Sia Partners,Consultant in Data Science,BELGIUM,Full Time,Entry-level,39000.0,"Big Data,Consulting,Consulting firm,Econometrics,Finance,Machine Learning"
94,98,Curated,Machine Learning Engineer,UNITED STATES,Full Time,Senior-level,131000.0,"AWS,Azure,BERT,Chatbots,Classification,Deep Learning"
95,99,Shopify,"Staff Engineer, Data Platform",UNITED STATES,Full Time,Senior-level,62000.0,"AWS,Azure,BigQuery,Computer Science,Dataflow,Dataproc"
96,101,Chainalysis,Data Engineer,CANADA | REMOTE-CAN,Full Time,Senior-level,115000.0,"Agile,Airflow,APIs,Architecture,Banking,Blockchain"
97,102,Verisk,Data Engineer,INDIA,Full Time,Senior-level,115000.0,"APIs,Architecture,Data pipelines,Engineering,JavaScript,NoSQL"
98,103,Etsy,Data Scientist,UNITED STATES,Full Time,Senior-level,130000.0,"Big Data,BigQuery,Data governance,Data visualization,Engineering,Finance"
99,104,TTEC Digital,"Director, IVA and AI Solutions - Professional Services Practice Lead",US: REMOTE,Full Time,Executive-level,73000.0,"Angular,APIs,Architecture,ASR,AWS,Azure"
100,105,Tide,Data Analyst, REMOTE,Full Time,Senior-level,92000.0,"A/B testing,Banking,Engineering,FinTech,KPIs,Looker"
101,106,Lucid Motors,Data Analyst,CANADA,Full Time,Senior-level,131000.0,"APIs,Business Analytics,Engineering,ETL,Git,Jira"
102,107,Amazon.com,"Amazon Robotics - Hardware Engineer Co-op (July-December 2023), Amazon Robotics",UNITED STATES,Full Time,Entry-level,44000.0,"Agile,Computer Vision,CX,Engineering,Machine Learning,Prototyping"
103,108,Kpler,Data Engineer,GERMANY,Full Time,Senior-level,115000.0,"Ansible,AWS,Data pipelines,DevOps,Elasticsearch,Engineering"
104,109,Devbridge,Data Engineer,LITHUANIA,Full Time,Mid-level,73000.0,"Airflow,APIs,AWS,Azure,Data Analytics,Data pipelines"
105,110,Similarweb,Data Product Manager,ISRAEL,Full Time,All-Level,50000.0,"Architecture,Big Data,Engineering,Machine Learning,Privacy,Python"
106,111,Deloitte,FSA (FinTech) - Quantitative Machine Learning Specialist & Software Developer,SOUTH AFRICA,Full Time,Senior-level,48000.0,"Architecture,Banking,Computer Science,Consulting,Credit risk,Docker"
107,112,Publicis Groupe,Data Engineer,COLOMBIA,Full Time,Entry-level,59000.0,"APIs,ETL,GCP,Google Cloud,Hadoop,JavaScript"
108,113,Freeform,Software Engineer (Data Pipeline),CANADA,Full Time,Senior-level,100000.0,"Big Data,CI/CD,Computer Science,Computer Vision,Data pipelines,Data Warehousing"
109,114,GumGum,Data Scientist,AUSTRALIA,Full Time,Senior-level,129000.0,"Computer Science,Data quality,Engineering,Feature engineering,GCP,Machine Learning"
110,115,KoBold Metals,Data Scientist,ZAMBIA,Full Time,Mid-level,60000.0,"Computer Science,Data analysis,EDA,Engineering,Git,GitHub"
111,116,Publicis Groupe,Data Engineer,UNITED STATES,Full Time,Entry-level,52000.0,"AWS,Azure,Data management,Data Warehousing,Engineering,ETL"
112,117,Talan,Talan Consulting  Consultant Senior/Manager  Data Strategy (H/F),FRANCE,Full Time,Senior-level,62000.0,"Architecture,Consulting,Data governance,Data management,Data strategy,Machine Learning"
113,118,6point6,Data Architect,UNITED KINGDOM,Full Time,Senior-level,135000.0,"APIs,Architecture,JSON,Model design,Security,SQL"
114,119,Branching Minds,Data Engineer, UNITED STATES - REMOTE,Full Time,Mid-level,76000.0,"Agile,Airtable,AWS,Databricks,Engineering,PostgreSQL"
115,120,Appen,Data Scientist,CANADA,Full Time,Senior-level,129000.0,"AWS,Azure,Computer Science,Data management,Data visualization,Deep Learning"
116,121,Anvl,Data Engineer, UNITED STATES - REMOTE,Full Time,Mid-level,73000.0,"Architecture,AWS,Data Analytics,Data warehouse,DynamoDB,Elasticsearch"
117,122,Pure Integration,Data Analyst,UNITED STATES,Full Time,Senior-level,92000.0,"Computer Science,Consulting,Consulting firm,Data analysis,Data quality,Engineering"
118,123,Podium,Data Scientist,UNITED STATES,Full Time,Senior-level,129000.0,"Bayesian,Business Analytics,Classification,Data analysis,Data Analytics,Data Mining"
119,124,SentinelOne,"Senior Technical Support Engineer, DataSet",CZECHIA,Full Time,Senior-level,62000.0,"AWS,DevOps,Docker,EC2,Engineering,Kubernetes"
120,125,Amazon.com,Business Intelligence,BRAZIL,Full Time,All-Level,50000.0,"AWS,Big Data,Business Intelligence,Data Mining,Data quality,Data visualization"
121,126,Block,"Staff Machine Learning Modeler, Financial Crimes",UNITED STATES,Full Time,Senior-level,172000.0,"Airflow,AWS,Banking,Blockchain,Classification,Computer Science"
122,127,ServiceNow,Machine Learning Engineer,UNITED STATES,Full Time,Senior-level,119000.0,"Machine Learning,OOP,Python,Research,Testing"
123,128,Techstars,Business Intelligence,UNITED STATES,Full Time,Senior-level,125000.0,"Business Intelligence,Clustering,Data analysis,Data Analytics,Data governance,Data pipelines"
124,129,Riskified,Data Scientist,TEL AVIV,Full Time,All-Level,92000.0,"Airflow,Big Data,Classification,Clustering,Computer Science,Databricks"
125,130,Spotify,Data Engineer,NEW YORK CITY,Full Time,Senior-level,116000.0,"Agile,Architecture,AWS,Big Data,BigQuery,Computer Science"
126,131,Syngenta Group,Data Manager,INDIA,Full Time,All-Level,77000.0,"Biology,Consulting,Data analysis,Data Analytics,Data management,Data quality"
127,132,Mutt Data,Machine Learning Engineer,ARGENTINA,Full Time,Mid-level,74000.0,"Airflow,Architecture,AWS,Big Data,CI/CD,Databricks"
128,133,PSI CRO,Salesforce Administrator/Data Specialist,POLAND,Full Time,All-Level,70000.0,"Computer Science,Data governance,Power BI,Research"
129,134,SpaceX,Data Engineer,UNITED KINGDOM,Full Time,Senior-level,120000.0,"Clustering,Computer Science,Data analysis,Data Analytics,Engineering,ETL"
130,135,Sunnova Energy International,Data Engineer,UNITED STATES,Full Time,Senior-level,115000.0,"Agile,APIs,Architecture,AWS,Azure,CI/CD"
131,136,Talan,Data Engineer,FRANCE,Full Time,Senior-level,115000.0,"Agile,Angular,Big Data,Blockchain,ETL,Hadoop"
132,137,Databricks,"Director, Spark Technical Solutions",INDIA,Full Time,Executive-level,65000.0,"AWS,Azure,Big Data,Computer Science,Databricks,Elasticsearch"
133,138,Payplug,Data Engineer,FRANCE,Full Time,Entry-level,59000.0,"Architecture,BigQuery,CI/CD,Docker,Engineering,GCP"
134,139,Sigma Software,Data Engineer,UKRAINE,Full Time,Mid-level,73000.0,"Architecture,Azure,Big Data,BigQuery,Data analysis,Databricks"
135,140,METRO/MAKRO,Data Analyst,SPAIN,Full Time,Senior-level,92000.0,"BigQuery,Data pipelines,Data visualization,ELT,Engineering,ETL"
136,141,Fannie Mae,People Analytics Data Visualization Senior Associate (Open to Remote),UNITED STATES,Full Time,Mid-level,51000.0,"Architecture,AWS,Business Intelligence,Classification,Consulting,Data visualization"
137,142,Alter Solutions,Développeur Power BI - H/F,FRANCE,Full Time,Senior-level,62000.0,"Agile,Architecture,KPIs,Power BI,Privacy,R"
138,143,Veeva Systems,Data Engineer,PORTUGAL - LISBON,Full Time,Senior-level,115000.0,"Airflow,AWS,Business Analytics,Databricks,DataOps,Data pipelines"
139,144,Curated,Product Manager - Experts & Artificial Intelligence,UNITED STATES,Full Time,Senior-level,69000.0,"Computer Science,E-commerce,LLMs,Machine Learning,NLP,Research"
140,145,Bosch Group,Group Manager Data Analytics India,INDIA,Full Time,Senior-level,55000.0,"Data Analytics,Industrial"
141,146,Statkraft,Data Analyst,UNITED KINGDOM,Full Time,Entry-level,48000.0,"APIs,Big Data,Data analysis,Data quality,GitHub,Grafana"
142,147,Lendi Group,Data Engineer,AUSTRALIA,Full Time,Senior-level,115000.0,"Agile,Airflow,Architecture,AWS,Azure,Data governance"
143,148,Publicis Groupe,Data Scientist,UNITED STATES,Full Time,Executive-level,92000.0,"AWS,Big Data,Business Analytics,Hadoop,Machine Learning,Mathematics"
144,149,Amazon.com,Business Intelligence,SINGAPORE,Full Time,All-Level,50000.0,"AWS,Business Intelligence,CX,Data Analytics,Data management,Data visualization"
145,150,Altos Labs,"Scientist/Senior Scientist, Machine Learning",CANADA,Full Time,Senior-level,69000.0,"Computer Science,Data analysis,Deep Learning,Diffusion models,Drug discovery,Genetics"
146,151,"ThousandEyes, Inc.","Principal Site Reliability Engineer, Datastores (Hybrid)",CANADA,Full Time,Senior-level,176000.0,"Architecture,AWS,Elasticsearch,Engineering,Kafka,Kubernetes"
147,152,Bosch Group,Data Scientist,PORTUGAL,Full Time,Entry-level,40000.0,"Big Data,Computer Science,CX,Cybernetics,Engineering,Industrial"
148,153,Block,Machine Learning Manager (Systems),UNITED STATES,Full Time,All-Level,189000.0,"Airflow,AWS,Banking,Blockchain,Crypto,Data analysis"
149,154,Sia Partners,Data Engineer,BELGIUM,Full Time,Entry-level,39000.0,"APIs,Architecture,AWS,Azure,Big Data,CI/CD"
150,155,NobleAI,Machine Learning Engineer,UNITED STATES,Full Time,Mid-level,149000.0,"Computer Science,KPIs,Machine Learning,ML models,Research,Security"
151,156,Adevinta,Data Analyst,SPAIN,Full Time,Senior-level,92000.0,"Airflow,Big Data,Classification,Clustering,Data analysis,Databricks"
152,157,LivePerson,"Senior Product Marketing Manager, Conversational Intelligence & AI Products",UNITED STATES- REMOTE,Full Time,Senior-level,130000.0,"Engineering,Excel,Market research,Research"
153,158,YouGov,Data Analyst,INDIA,Full Time,Entry-level,48000.0,"Data analysis,Excel,Market research,Privacy,Research,Statistics"
154,159,Lambda,Analytics Engineer,REMOTE (US & CAN),Full Time,Senior-level,110000.0,"APIs,Architecture,AWS,BigQuery,Business Analytics,Computer Science"
155,160,Databricks,Data Engineer,UNITED KINGDOM,Full Time,Senior-level,115000.0,"APIs,Architecture,AWS,Azure,Big Data,CI/CD"
156,161,Fullscript,Machine Learning Engineer,UNITED KINGDOM,Full Time,Senior-level,131000.0,"AI strategy,BigQuery,Data Mining,Engineering,GPT,LLMs"
157,162,Zeta,Data Scientist,BENGALURU,Full Time,Entry-level,40000.0,"Banking,Chatbots,Data analysis,Engineering,FinTech,Machine Learning"
158,163,Tempus,Senior Data Quality Assurance Specialist,ISRAEL,Full Time,Senior-level,69000.0,"Biology,Computer Science,Data quality,Data visualization,Engineering,Genetics"
159,164,"ThousandEyes, Inc.","Senior Site Reliability Engineer, Datastores (Hybrid)",UNITED KINGDOM,Full Time,Senior-level,62000.0,"AWS,DynamoDB,Elasticsearch,Kafka,Kubernetes,Linux"
160,165,Arize AI,"Customer Success Junior ML Engineer, Onboarding Specialist",REMOTE,Full Time,Entry-level,90000.0,"APIs,AWS,Azure,Consulting,Deep Learning,Drones"
161,166,Twenty First Group,Senior Data Science Engineer,UNITED KINGDOM,Full Time,Mid-level,51000.0,"AWS,Bayesian,Docker,Engineering,Git,Machine Learning"
162,167,Netcentric,Digital Analytics Engineer,GERMANY,Full Time,Senior-level,110000.0,"Consulting,GCP,Google Cloud,Looker,Power BI,Privacy"
163,169,Twilio,Data Scientist,REMOTE - US,Full Time,Senior-level,120000.0,"Airflow,AWS,Data Analytics,Data pipelines,Engineering,Looker"
164,170,Wallbox,Analytics Engineer Intern,SPAIN,Internship,Entry-level,0.0,"Airflow,BigQuery,CI/CD,Databricks,Data quality,Data warehouse"
165,171,Current,Master Data Team Manager,UNITED STATES,Full Time,Executive-level,73000.0,"Data quality,Industrial"
166,172,Block,Data Engineer,CANADA,Full Time,Senior-level,115000.0,"Airflow,AWS,Banking,Blockchain,Crypto,CX"
167,173,Foursquare,Data Operations Associate,SERBIA,Full Time,Entry-level,39000.0,"Architecture,AWS,DataOps,Engineering,Privacy,Python"
168,174,Fetch,Data Analyst,UNITED STATES,Full Time,Senior-level,92000.0,"Airflow,AWS,Big Data,Bitbucket,Data Analytics,Excel"
169,175,Extreme Networks,Staff ML Engineer (8627),CANADA,Full Time,Senior-level,131000.0,"Bayesian,Big Data,Computer Science,Docker,Engineering,Git"
170,176,Databricks,Specialist Architect : Big Data,REMOTE - INDIA,Full Time,Senior-level,49000.0,"Architecture,AWS,Azure,Big Data,Consulting,Data Analytics"
171,177,Bosch Group,Research Engineer in Multi Agent Path Finding for Mobile Robots (f/m/div.),GERMANY,Full Time,Entry-level,105000.0,"Agile,Computer Science,Deep Learning,Industrial,Linux,Machine Learning"
172,178,Databricks,Data Engineer,UNITED STATES,Full Time,Senior-level,115000.0,"Computer Science,Databricks,Engineering,ETL,Excel,MLFlow"
173,179,Sia Partners,Machine Learning Engineer,BELGIUM,Full Time,Entry-level,30000.0,"AWS,Azure,Big Data,Computer Science,Computer Vision,Consulting"
174,180,Meshcapade,CV/ML Engineer for 3D Virtual Humans - Remote Europe,GERMANY,Full Time,Senior-level,131000.0,"Computer Science,Computer Vision,Deep Learning,Engineering,Machine Learning,ML models"
175,181,Srijan Technologies,Data Engineer,UNITED KINGDOM,Full Time,Senior-level,115000.0,"Agile,APIs,Azure,Databricks,Data management,Data pipelines"
176,182,Uniphore,Director AI Science,CANADA,Full Time,Executive-level,81000.0,"Banking,Computer Science,Conversational AI,Data analysis,Industrial,LLMs"
177,183,Control Risks,Business Intelligence,INDIA,Full Time,Entry-level,35000.0,"Business Intelligence,Excel,Finance,Research"
178,184,"Nuro, Inc.",Machine Learning Research Scientist, CALIFORNIA (HQ),Full Time,Entry-level,167000.0,"Computer Science,Data pipelines,Deep Learning,ICLR,ICML,Machine Learning"
179,185,Peloton,"Staff Database Reliability Engineer, Datastores",NEW YORK CITY,Full Time,Senior-level,236000.0,"Architecture,AWS,Consulting,Distributed Systems,DynamoDB,Engineering"
